类别,行政区,点评数,口味,环境,服务,人均消费,城市,经度,纬度
烧烤,浦东新区,1,7,7,7,1068,上海市,121.9099593,30.88347657
快餐,浦东新区,2,7.7,6.9,6.9,1066,上海市,121.9096544,30.8833608
西餐,浦东新区,78,7.5,7.5,7.4,1065,上海市,121.9087437,30.88200307
西餐,浦东新区,78,7.5,7.5,7.4,1065,上海市,121.9087437,30.88200307
本菜,浦东新区,0,0,0,0,1060,上海市,121.9081998,30.88234213
啡厅,浦东新区,7,6.8,7.2,7.1,1057,上海市,121.9081998,30.88234213
火锅,浦东新区,16,6.4,6.4,6.1,1057,上海市,121.9080618,30.88231321
湘菜,浦东新区,4,7.2,7.1,7.1,1057,上海市,121.9078338,30.88219539
龙虾,浦东新区,0,0,0,0,1043,上海市,121.9078338,30.88219539
烧烤,浦东新区,1,6.9,6.9,6.9,1037,上海市,121.9078338,30.88219539
烧烤,浦东新区,3,6.8,6.8,6.9,1037,上海市,121.9078338,30.88219539
美食,浦东新区,2,7,7,7,1026,上海市,121.9076897,30.8967899
美食,浦东新区,6,6.9,6.9,6.9,1024,上海市,121.9076897,30.8967899
啡厅,浦东新区,7,7.5,7.5,7.5,1022,上海市,121.9076217,30.89702479
快餐,浦东新区,24,7.6,7.5,7.6,1017,上海市,121.9072627,30.89684905
美食,浦东新区,14,7.7,7.6,7.7,1015,上海市,121.9060175,30.87599575
料理,浦东新区,0,0,0,0,997,上海市,121.9057498,30.89685865
烧烤,浦东新区,23,6.9,7,6.8,997,上海市,121.9053635,30.97441685
火锅,浦东新区,139,8.3,8.3,8.2,994,上海市,121.9045098,30.89690803
烧烤,浦东新区,6,7.3,7.3,7.4,994,上海市,121.9045098,30.89690803
海鲜,浦东新区,6,7,7,6.6,994,上海市,121.9027988,30.95633932
浙菜,浦东新区,36,6.9,7,6.7,969,上海市,121.9022625,30.89736933
浙菜,浦东新区,12,6.8,7.3,7,969,上海市,121.9022625,30.89736933
湾菜,浦东新区,0,0,0,0,963,上海市,121.9022625,30.89736933
湾菜,浦东新区,0,0,0,0,963,上海市,121.9022625,30.89736933
火锅,浦东新区,36,7.5,7.4,7.2,950,上海市,121.9022625,30.89736933
火锅,浦东新区,117,6.9,7,6.6,948,上海市,121.9022625,30.89736933
快餐,浦东新区,42,7.9,8.2,8.1,946,上海市,121.9022625,30.89736933
快餐,浦东新区,10,7.6,7.7,7.5,940,上海市,121.9022625,30.89736933
料理,浦东新区,46,6.3,6.7,6.2,927,上海市,121.9022625,30.89736933
西餐,浦东新区,17,6.9,7,6.4,921,上海市,121.9022625,30.89736933
甜点,浦东新区,29,7.7,7.7,7.5,917,上海市,121.9022625,30.89736933
川菜,浦东新区,1,7.2,7.2,7.2,917,上海市,121.9010928,30.87913821
湘菜,浦东新区,0,0,0,0,917,上海市,121.9010928,30.87913821
北菜,浦东新区,0,0,0,0,909,上海市,121.9010928,30.87913821
本菜,浦东新区,0,0,0,0,909,上海市,121.9003311,30.87283199
烧烤,浦东新区,182,7,6.9,6.9,909,上海市,121.9002227,30.87711451
西餐,浦东新区,273,8.2,8.2,8.2,905,上海市,121.9002227,30.87711451
烧烤,浦东新区,182,7,6.9,6.9,904,上海市,121.9002227,30.87711451
海鲜,浦东新区,23,7.4,6.9,7.2,904,上海市,121.8998333,30.9558331
西餐,浦东新区,58,7.6,7.7,7.2,904,上海市,121.8996245,30.87766225
海鲜,浦东新区,0,0,0,0,901,上海市,121.8996245,30.87766225
快餐,浦东新区,20,7.3,7.2,7.3,898,上海市,121.8993409,30.88468418
川菜,浦东新区,7,7.5,7.4,7.6,898,上海市,121.8989858,30.88435239
烧烤,浦东新区,9,6.8,6.7,6.8,894,上海市,121.8989858,30.88435239
啡厅,浦东新区,12,6.8,6.7,6.8,894,上海市,121.8985166,30.94647675
料理,浦东新区,1,7.1,7.1,7.1,894,上海市,121.8981145,30.88359987
料理,浦东新区,0,0,0,0,894,上海市,121.8981145,30.88359987
美食,浦东新区,7,7.1,7.2,7.2,889,上海市,121.8981145,30.88359987
美食,浦东新区,1,7,6.9,6.9,882,上海市,121.8981145,30.88359987
烧烤,浦东新区,8,7.3,7.3,7.3,878,上海市,121.8979635,30.883385
本菜,浦东新区,30,7.2,7.4,7.1,871,上海市,121.8979545,30.88347694
川菜,浦东新区,59,6.8,6.9,6.8,871,上海市,121.8979475,30.88351592
湘菜,浦东新区,3,6.9,6.9,6.9,868,上海市,121.8979475,30.88351592
湘菜,浦东新区,14,7.2,7,7.2,868,上海市,121.8979475,30.88351592
湘菜,浦东新区,3,6.9,6.9,6.9,857,上海市,121.8979475,30.88351592
北菜,浦东新区,129,7.5,6.9,7.4,857,上海市,121.8979475,30.88351592
疆菜,浦东新区,26,7.2,6.9,7.1,853,上海市,121.8979475,30.88351592
常菜,浦东新区,1,6.9,6.9,6.9,844,上海市,121.8978826,30.88229064
川菜,浦东新区,8,7.3,7.1,7.2,843,上海市,121.8978215,30.88298423
烧烤,浦东新区,17,6.5,6.6,6.6,836,上海市,121.8977595,30.88311416
烧烤,浦东新区,4,7.4,7.4,7.4,831,上海市,121.8976925,30.88281233
烧烤,浦东新区,7,7.5,7.4,7.5,830,上海市,121.8976824,30.88299323
粤菜,浦东新区,0,0,0,0,830,上海市,121.8976614,30.88317312
湘菜,浦东新区,0,0,0,0,830,上海市,121.8976614,30.88317312
火锅,浦东新区,63,7.8,7.8,8,829,上海市,121.8976614,30.88317312
快餐,浦东新区,254,8.2,7.8,8,829,上海市,121.8976614,30.88317312
快餐,浦东新区,254,8.2,7.8,8,823,上海市,121.8976614,30.88317312
快餐,浦东新区,12,7,6.6,6.9,823,上海市,121.8976614,30.88317312
快餐,浦东新区,10,7.1,6.9,6.7,823,上海市,121.8976614,30.88317312
烧烤,浦东新区,9,7.3,7.3,7,822,上海市,121.8976614,30.88317312
北菜,浦东新区,8,7,7.1,7.1,815,上海市,121.8975094,30.88280134
料理,浦东新区,1,7.7,7.7,7.7,815,上海市,121.8975094,30.88280134
美食,浦东新区,48,7,6.9,7,815,上海市,121.8973473,30.88294126
州菜,浦东新区,0,0,0,0,813,上海市,121.8970322,30.88249751
西餐,浦东新区,349,8.5,8.4,8.4,813,上海市,121.8967751,30.88245652
西餐,浦东新区,349,8.5,8.4,8.4,813,上海市,121.8967751,30.88245652
西餐,浦东新区,349,8.5,8.4,8.4,812,上海市,121.8967751,30.88245652
火锅,浦东新区,124,7.3,7.3,7.3,812,上海市,121.8967211,30.88246252
西餐,浦东新区,5,7.5,7.5,7.5,812,上海市,121.896472,30.88215868
美食,浦东新区,6,7.5,7.7,7.3,812,上海市,121.89646,30.88223964
烧烤,浦东新区,201,7.5,7.2,7.6,805,上海市,121.8964319,30.88259043
甜点,浦东新区,46,7.8,8.2,8,805,上海市,121.8964319,30.88259043
快餐,浦东新区,9,7.3,7.2,7.3,804,上海市,121.896337,30.88189183
快餐,浦东新区,1,7.4,7.4,7.1,803,上海市,121.8959898,30.88219963
川菜,浦东新区,333,8.6,7.9,8.2,801,上海市,121.8959207,30.88214366
火锅,浦东新区,164,7.2,7.3,7.4,801,上海市,121.8958487,30.88210967
啡厅,浦东新区,6,7.2,6.9,7.1,800,上海市,121.8957147,30.88127215
本菜,浦东新区,1,7.4,7.1,7.4,795,上海市,121.8956447,30.88130013
常菜,浦东新区,0,0,0,0,793,上海市,121.8953095,30.8816349
火锅,浦东新区,19,6.9,6.8,7,793,上海市,121.8952224,30.88141102
海鲜,浦东新区,0,0,0,0,791,上海市,121.8952144,30.88150297
烧烤,浦东新区,2,6.7,6.8,7.2,789,上海市,121.8952144,30.88150297
啡厅,浦东新区,1,7.2,7.2,7.2,787,上海市,121.8942937,30.89692083
龙虾,浦东新区,0,0,0,0,780,上海市,121.8941146,30.8969138
美食,浦东新区,14,7.2,7.1,7.1,779,上海市,121.892925,30.88254001
川菜,浦东新区,53,7.3,7.2,7.3,775,上海市,121.8928288,30.88530637
北菜,浦东新区,18,6.9,6.9,7,775,上海市,121.8928288,30.88530637
啡厅,浦东新区,38,7.1,7.1,6.9,773,上海市,121.8928288,30.88530637
北菜,浦东新区,0,0,0,0,771,上海市,121.8920813,30.88525824
常菜,浦东新区,0,0,0,0,771,上海市,121.8915681,30.88286151
浙菜,浦东新区,1564,7,7.8,6.6,771,上海市,121.8889162,30.94313412
川菜,浦东新区,3,7.4,7,7.3,766,上海市,121.8884397,30.89572395
粤菜,浦东新区,0,0,0,0,766,上海市,121.8881236,30.89279155
料理,浦东新区,4,7.2,7.2,7.1,765,上海市,121.8881236,30.89279155
西菜,浦东新区,0,0,0,0,765,上海市,121.8881236,30.89279155
西餐,浦东新区,8,7.6,7.5,7.6,762,上海市,121.8880753,30.89690511
川菜,浦东新区,14,7.2,7.2,7,759,上海市,121.8865743,30.89187141
本菜,浦东新区,36,6.9,7.8,7.9,758,上海市,121.886113,30.89081181
浙菜,浦东新区,338,8.4,7.1,7.3,756,上海市,121.8834315,30.9245215
