类别,行政区,点评数,口味,环境,服务,人均消费,城市,经度,纬度
快餐,宝山区,10,7.7,7.3,7.6,68,上海市,121.4943441,31.37656818
快餐,宝山区,27,7.6,7.2,7.6,68,上海市,121.4943441,31.37656818
常菜,黄浦区,0,0,0,0,68,上海市,121.4943322,31.22155222
川菜,浦东新区,302,8.1,7.4,7.7,68,上海市,121.4943215,31.14693266
甜点,浦东新区,104,7.7,7,7.2,68,上海市,121.4943189,31.17705601
甜点,浦东新区,104,7.7,7,7.2,68,上海市,121.4943189,31.17705601
浙菜,闵行区,15,7.2,7.1,7.3,68,上海市,121.4943221,31.10402895
火锅,虹口区,0,0,0,0,68,上海市,121.4943059,31.2713498
西餐,虹口区,338,7.2,7.1,6.9,68,上海市,121.4943059,31.2713498
常菜,黄浦区,1,7.1,6.8,7.1,68,上海市,121.4943066,31.21568093
西餐,黄浦区,176,8.7,8.3,8.6,68,上海市,121.4942934,31.2296783
啡厅,黄浦区,66,7.9,7.6,7.9,68,上海市,121.4942934,31.2296783
啡厅,黄浦区,66,7.9,7.6,7.9,68,上海市,121.4942934,31.2296783
甜点,黄浦区,0,0,0,0,68,上海市,121.4942896,31.21591177
甜点,黄浦区,0,0,0,0,68,上海市,121.4942896,31.21591177
浙菜,浦东新区,56,7.6,7.8,7.9,68,上海市,121.4942934,31.14677066
海鲜,黄浦区,70,7,6.6,6.8,68,上海市,121.494275,31.22143011
快餐,黄浦区,216,7.5,7,7.1,68,上海市,121.4942699,31.22279445
快餐,黄浦区,44,6.7,6.5,6.4,68,上海市,121.4942699,31.22279445
粤菜,黄浦区,2,7.3,7.3,7.3,68,上海市,121.494264,31.22128814
北菜,黄浦区,243,7.4,7.4,7.3,68,上海市,121.494264,31.22128814
北菜,黄浦区,243,7.4,7.4,7.3,68,上海市,121.494264,31.22128814
海鲜,黄浦区,86,6.7,6.6,6.7,68,上海市,121.494264,31.22128814
粤菜,黄浦区,2,7.3,7.3,7.3,68,上海市,121.494264,31.22128814
美食,浦东新区,408,8.5,7.7,7.7,68,上海市,121.4942633,31.14706142
甜点,闵行区,10,6.6,6.7,6.7,68,上海市,121.4942593,31.09921245
海鲜,黄浦区,0,0,0,0,68,上海市,121.4942463,31.21688118
西餐,虹口区,0,0,0,0,68,上海市,121.494217,31.27831759
西餐,虹口区,6,7.1,7.1,6.9,68,上海市,121.494217,31.27831759
啡厅,虹口区,11,7.1,7.2,7.3,68,上海市,121.494217,31.27831759
烧烤,虹口区,2,7,6.8,6.9,68,上海市,121.494217,31.27831759
西餐,虹口区,0,0,0,0,68,上海市,121.494217,31.27831759
啡厅,虹口区,11,7.1,7.2,7.3,68,上海市,121.494217,31.27831759
西餐,虹口区,6,7.1,7.1,6.9,68,上海市,121.494217,31.27831759
甜点,杨浦区,2,7,7,7,68,上海市,121.494217,31.27831759
浙菜,宝山区,17,6.5,6.4,6.6,68,上海市,121.4942041,31.38200311
啡厅,宝山区,0,0,0,0,68,上海市,121.4942013,31.39160626
啡厅,宝山区,0,0,0,0,68,上海市,121.4942013,31.39160626
美食,浦东新区,44,7.5,7.1,7.5,68,上海市,121.4942124,31.17854694
美食,黄浦区,120,8.3,6.9,7.7,68,上海市,121.4941931,31.21698597
本菜,虹口区,1,7.5,7.5,7.5,68,上海市,121.4941699,31.27736185
快餐,浦东新区,55,7.7,7.7,7.6,68,上海市,121.4941738,31.12547573
快餐,浦东新区,55,7.7,7.7,7.6,68,上海市,121.4941738,31.12547573
粤菜,黄浦区,1292,7.7,8.4,7.6,68,上海市,121.4941629,31.22947901
粤菜,黄浦区,1292,7.7,8.4,7.6,68,上海市,121.4941629,31.22947901
甜点,虹口区,1,6.9,6.9,6.9,68,上海市,121.4941541,31.27455299
甜点,虹口区,1,6.9,6.9,6.9,68,上海市,121.4941541,31.27455299
川菜,杨浦区,0,0,0,0,68,上海市,121.4941511,31.31017862
快餐,浦东新区,17,6.8,6.4,6.4,68,上海市,121.4941626,31.12726073
川菜,虹口区,8,6.9,6.7,6.8,68,上海市,121.4941433,31.27169616
快餐,虹口区,14,6.8,6.7,6.7,68,上海市,121.4941433,31.27169616
快餐,虹口区,14,6.8,6.7,6.7,68,上海市,121.4941433,31.27169616
快餐,虹口区,34,7,7.1,7.2,68,上海市,121.4941433,31.27169616
,,,,,,68,,,
美食,虹口区,1,7.5,7.5,7.5,68,上海市,121.4941433,31.27169616
美食,虹口区,3,7,7,7,68,上海市,121.4941433,31.27169616
,,,,,,68,,,
烧烤,浦东新区,112,7.3,7.1,7.1,68,上海市,121.494149,31.14523305
烧烤,浦东新区,112,7.3,7.1,7.1,68,上海市,121.494149,31.14523305
美食,虹口区,21,7.2,7.3,7.1,68,上海市,121.4941323,31.29510347
甜点,杨浦区,2,7.5,7.5,7.5,68,上海市,121.4941323,31.29510347
火锅,宝山区,434,8.3,7.9,7.7,68,上海市,121.4941095,31.39686847
火锅,宝山区,434,8.3,7.9,7.7,68,上海市,121.4941095,31.39686847
快餐,宝山区,52,7.4,7.3,6.9,68,上海市,121.4941095,31.39686847
西餐,宝山区,2,7.2,6.9,6.9,68,上海市,121.4941095,31.39686847
美食,宝山区,23,6.8,6.7,6.6,68,上海市,121.4941095,31.39686847
啡厅,宝山区,98,6.5,6.8,6.5,68,上海市,121.4941095,31.39686847
火锅,宝山区,434,8.3,7.9,7.7,68,上海市,121.4941095,31.39686847
火锅,宝山区,434,8.3,7.9,7.7,68,上海市,121.4941095,31.39686847
啡厅,宝山区,98,6.5,6.8,6.5,68,上海市,121.4941095,31.39686847
甜点,虹口区,2,7.2,7.2,7.2,68,上海市,121.4941043,31.25825984
甜点,虹口区,2,7.2,7.2,7.2,68,上海市,121.4941043,31.25825984
川菜,黄浦区,35,8.5,8.2,8.4,68,上海市,121.4940907,31.22956375
粤菜,黄浦区,73,7.7,7.5,7.6,68,上海市,121.4940907,31.22956375
本菜,黄浦区,137,9,9.1,9.1,68,上海市,121.4940907,31.22956375
甜点,黄浦区,82,8.3,8.6,8.5,68,上海市,121.4940907,31.22956375
南菜,黄浦区,784,8.5,8.5,8.5,68,上海市,121.4940907,31.22956375
海鲜,浦东新区,8,7.8,7.8,7.8,68,上海市,121.4940905,31.14892492
火锅,虹口区,0,0,0,0,68,上海市,121.4940698,31.27475165
疆菜,宝山区,5,6.8,6.8,6.8,68,上海市,121.4940537,31.34571838
川菜,虹口区,27,6.7,6.6,6.9,68,上海市,121.4940571,31.29432856
北菜,宝山区,35,6.7,6.4,6.5,68,上海市,121.4940418,31.39128587
浙菜,黄浦区,11,7.8,7.7,7.9,68,上海市,121.4940526,31.21724243
啡厅,虹口区,37,7,7.3,7,68,上海市,121.4940498,31.24985039
啡厅,虹口区,37,7,7.3,7,68,上海市,121.4940498,31.24985039
啡厅,虹口区,3,0,0,0,68,上海市,121.494037,31.29397364
啡厅,虹口区,3,0,0,0,68,上海市,121.494037,31.29397364
粤菜,浦东新区,8,7.3,7.4,7.5,68,上海市,121.4940485,31.1475775
北菜,浦东新区,0,0,0,0,68,上海市,121.4940485,31.1475775
啡厅,虹口区,4,7.3,7.2,7.4,68,上海市,121.4940301,31.29241325
啡厅,虹口区,4,7.3,7.2,7.4,68,上海市,121.4940301,31.29241325
浙菜,黄浦区,16,7.1,6.8,7,68,上海市,121.4940301,31.22152833
快餐,宝山区,139,7.8,7.9,7.4,68,上海市,121.4940157,31.3795053
美食,宝山区,1,6.9,6.9,6.9,68,上海市,121.4940157,31.3795053
啡厅,宝山区,0,0,0,0,68,上海市,121.4940157,31.3795053
浙菜,黄浦区,1381,7.5,8.4,7.5,68,上海市,121.4940207,31.20315912
浙菜,黄浦区,34,6.8,6.8,6.6,68,上海市,121.4940207,31.20315912
快餐,黄浦区,3,6.5,6.8,6.8,68,上海市,121.4940207,31.20315912
西餐,杨浦区,6,7.2,7.2,7.2,68,上海市,121.4940089,31.31735247
西餐,杨浦区,6,7.2,7.2,7.2,68,上海市,121.4940089,31.31735247
快餐,闵行区,10,7.3,7.4,7.3,68,上海市,121.4940207,31.08407423
火锅,浦东新区,841,8.2,7.4,7.3,68,上海市,121.494012,31.12769304
本菜,浦东新区,230,6.9,7,7,68,上海市,121.4939916,31.23819547
湘菜,浦东新区,113,7.1,7,6.8,68,上海市,121.4939971,31.16199579
浙菜,黄浦区,14,6.8,6.8,6.9,68,上海市,121.4939927,31.20186167
西餐,黄浦区,0,0,0,0,68,上海市,121.4939927,31.20186167
快餐,宝山区,153,7.2,6,6.8,68,上海市,121.4939659,31.37483459
龙虾,浦东新区,0,0,0,0,68,上海市,121.4939817,31.16517909
西餐,黄浦区,10461,8.8,9.1,9.1,68,上海市,121.4939763,31.22955741
西餐,黄浦区,10461,8.8,9.1,9.1,68,上海市,121.4939763,31.22955741
西餐,黄浦区,10461,8.8,9.1,9.1,68,上海市,121.4939763,31.22955741
西餐,黄浦区,10461,8.8,9.1,9.1,68,上海市,121.4939763,31.22955741
火锅,黄浦区,0,0,0,0,68,上海市,121.4939674,31.21601476
烧烤,黄浦区,0,0,0,0,68,上海市,121.4939674,31.21601476
粤菜,虹口区,91,6.9,6.8,6.7,68,上海市,121.4939488,31.29229105
烧烤,虹口区,269,7.5,7.8,7.3,68,上海市,121.4939488,31.29229105
烧烤,虹口区,269,7.5,7.8,7.3,68,上海市,121.4939488,31.29229105
烧烤,虹口区,269,7.5,7.8,7.3,68,上海市,121.4939488,31.29229105
粤菜,虹口区,91,6.9,6.8,6.7,68,上海市,121.4939488,31.29229105
浙菜,虹口区,12,7.4,7.4,7.5,68,上海市,121.4939428,31.2576906
粤菜,浦东新区,0,0,0,0,68,上海市,121.4939508,31.1270692
烧烤,浦东新区,15,7,7,7,68,上海市,121.4939508,31.1270692
常菜,浦东新区,0,0,0,0,68,上海市,121.4939508,31.1270692
甜点,黄浦区,2,7,7,7,68,上海市,121.4939357,31.22287341
甜点,黄浦区,2,7,7,7,68,上海市,121.4939357,31.22287341
美食,虹口区,2,6.9,6.9,6.9,68,上海市,121.4939269,31.29116744
浙菜,黄浦区,0,0,0,0,68,上海市,121.4939311,31.22965123
浙菜,黄浦区,66,7.5,7.6,7.8,68,上海市,121.4939311,31.22965123
粤菜,黄浦区,8,6.9,6.9,6.9,68,上海市,121.4939311,31.22965123
快餐,黄浦区,13,7.4,7.3,7.3,68,上海市,121.4939311,31.22965123
本菜,黄浦区,265,7.7,8.5,8.4,68,上海市,121.4939311,31.22965123
本菜,黄浦区,281,7.5,7.3,7.4,68,上海市,121.4939311,31.22965123
料理,黄浦区,229,7.7,7.7,7.7,68,上海市,121.4939311,31.22965123
亚菜,黄浦区,314,8.1,8.7,8,68,上海市,121.4939311,31.22965123
西餐,黄浦区,255,8.2,8.4,8.3,68,上海市,121.4939311,31.22965123
西餐,黄浦区,549,8.1,8.5,8.3,68,上海市,121.4939311,31.22965123
西餐,黄浦区,1,0,0,0,68,上海市,121.4939311,31.22965123
甜点,黄浦区,298,8.1,8,8.1,68,上海市,121.4939311,31.22965123
甜点,黄浦区,62,7.7,7.5,7.6,68,上海市,121.4939311,31.22965123
甜点,黄浦区,19,6.6,6.7,6.7,68,上海市,121.4939311,31.22965123
美食,黄浦区,34,6.9,7,7.1,68,上海市,121.4939311,31.22965123
啡厅,黄浦区,30,7.4,7.3,7.4,68,上海市,121.4939311,31.22965123
快餐,黄浦区,13,7.4,7.3,7.3,68,上海市,121.4939311,31.22965123
啡厅,黄浦区,30,7.4,7.3,7.4,68,上海市,121.4939311,31.22965123
甜点,黄浦区,19,6.6,6.7,6.7,68,上海市,121.4939311,31.22965123
西餐,黄浦区,549,8.1,8.5,8.3,68,上海市,121.4939311,31.22965123
美食,浦东新区,102,7.4,7.3,7.3,68,上海市,121.4939362,31.15833551
龙虾,浦东新区,103,8.9,8.1,8.8,68,上海市,121.4939342,31.18084194
烧烤,浦东新区,1,7.2,7.2,7.2,68,上海市,121.4939362,31.15833551
美食,浦东新区,27,7.3,7.3,7.3,68,上海市,121.493936,31.14797795
川菜,浦东新区,12,7.1,6.7,6.7,68,上海市,121.4939312,31.14515144
甜点,杨浦区,8,7.5,7.3,7.5,68,上海市,121.493913,31.33623527
甜点,杨浦区,8,7.5,7.3,7.5,68,上海市,121.493913,31.33623527
快餐,虹口区,86,0,0,0,68,上海市,121.4939145,31.27173146
快餐,虹口区,15,7,7,7,68,上海市,121.4939145,31.27173146
本菜,虹口区,282,7,7.6,7.5,68,上海市,121.4939145,31.27173146
甜点,虹口区,231,7.3,7.1,7.1,68,上海市,121.4939145,31.27173146
甜点,虹口区,24,7.1,7,7.1,68,上海市,121.4939145,31.27173146
快餐,虹口区,86,0,0,0,68,上海市,121.4939145,31.27173146
烧烤,虹口区,5,6.9,6.9,7,68,上海市,121.4939145,31.27173146
甜点,虹口区,24,7.1,7,7.1,68,上海市,121.4939145,31.27173146
西餐,浦东新区,2782,8,8.4,8.2,68,上海市,121.4939163,31.23826522
西餐,浦东新区,2782,8,8.4,8.2,68,上海市,121.4939163,31.23826522
西餐,浦东新区,2782,8,8.4,8.2,68,上海市,121.4939163,31.23826522
川菜,虹口区,5,7.5,7.5,7.5,68,上海市,121.4938967,31.29181309
浙菜,虹口区,33,6.6,6.4,6.5,68,上海市,121.4938917,31.29146022
美食,黄浦区,1,7,7,7,68,上海市,121.4938894,31.21264414
北菜,宝山区,9,7,6.8,7,68,上海市,121.4938585,31.3747323
浙菜,黄浦区,0,0,0,0,68,上海市,121.4938608,31.23000585
火锅,虹口区,989,8.4,8.6,8.3,68,上海市,121.4938518,31.26464231
甜点,虹口区,0,0,0,0,68,上海市,121.4938518,31.26464231
甜点,虹口区,0,0,0,0,68,上海市,121.4938518,31.26464231
快餐,黄浦区,90,6.7,6.8,6.7,68,上海市,121.4938528,31.22966499
川菜,宝山区,14,7.2,6.9,6.9,68,上海市,121.4938375,31.39745549
北菜,宝山区,2,7.1,7.2,7.2,68,上海市,121.4938375,31.39745549
甜点,黄浦区,0,0,0,0,68,上海市,121.4938406,31.21983456
甜点,黄浦区,13,7.1,7.2,7.4,68,上海市,121.4938396,31.22019039
海鲜,浦东新区,0,0,0,0,68,上海市,121.4938364,31.12779246
甜点,黄浦区,2,7,7,7,68,上海市,121.4938275,31.22055518
甜点,黄浦区,2,7,7,7,68,上海市,121.4938275,31.22055518
烧烤,浦东新区,14,8.1,7,7.6,68,上海市,121.4938235,31.14897309
啡厅,浦东新区,2,7,7,7,68,上海市,121.493811,31.23775014
甜点,虹口区,3,6.7,6.7,6.7,68,上海市,121.4938026,31.26538584
甜点,虹口区,0,0,0,0,68,上海市,121.4938026,31.26538584
龙虾,虹口区,1358,8.5,7.6,8.3,68,上海市,121.4938026,31.26538584
龙虾,虹口区,1358,8.5,7.6,8.3,68,上海市,121.4938026,31.26538584
甜点,虹口区,3,6.7,6.7,6.7,68,上海市,121.4938026,31.26538584
啡厅,虹口区,532,7.9,7.9,7.8,68,上海市,121.4937998,31.26271998
甜点,虹口区,108,7.5,7.5,7.5,68,上海市,121.4937998,31.26271998
甜点,虹口区,3,7,7,7,68,上海市,121.4937998,31.26271998
啡厅,虹口区,532,7.9,7.9,7.8,68,上海市,121.4937998,31.26271998
啡厅,虹口区,532,7.9,7.9,7.8,68,上海市,121.4937998,31.26271998
甜点,虹口区,3,7,7,7,68,上海市,121.4937998,31.26271998
川菜,浦东新区,60,6.8,6.5,6.8,68,上海市,121.4938055,31.14900502
快餐,浦东新区,4,7.3,7.3,7.3,68,上海市,121.4938055,31.14900502
龙虾,黄浦区,0,0,0,0,68,上海市,121.4937926,31.22950288
快餐,虹口区,2,7.1,7.1,7.1,68,上海市,121.4937804,31.29070219
北菜,宝山区,0,0,0,0,68,上海市,121.493765,31.37665842
快餐,宝山区,82,7.3,7,6.9,68,上海市,121.493762,31.37616556
川菜,虹口区,48,7.3,6.8,7,68,上海市,121.4937644,31.28968556
快餐,虹口区,46,7.6,7.5,7.6,68,上海市,121.4937621,31.29348601
甜点,虹口区,4,6.9,6.9,6.9,68,上海市,121.4937621,31.29348601
常菜,浦东新区,1,6.9,6.9,6.9,68,上海市,121.4937713,31.14909687
甜点,虹口区,56,8.1,8.3,8.7,68,上海市,121.4937617,31.26273486
甜点,虹口区,26,7.5,7.6,7.9,68,上海市,121.4937617,31.26273486
甜点,虹口区,26,7.5,7.6,7.9,68,上海市,121.4937617,31.26273486
西餐,浦东新区,57,6.7,6.8,6.8,68,上海市,121.493762,31.16450478
海鲜,浦东新区,214,7.8,7.7,7.6,68,上海市,121.493762,31.16450478
快餐,黄浦区,443,8.3,7.9,8,68,上海市,121.4937474,31.22967067
快餐,黄浦区,6,7.3,6.7,7,68,上海市,121.4937486,31.21592814
北菜,虹口区,60,7.2,6.7,6.9,68,上海市,121.4937369,31.29391477
海鲜,浦东新区,26,7.6,7.1,7.5,68,上海市,121.4937461,31.16258973
海鲜,浦东新区,26,7,7.1,7.1,68,上海市,121.4937461,31.16258973
美食,浦东新区,7,7.1,7.3,7.3,68,上海市,121.4937408,31.17728416
火锅,虹口区,5271,8.9,9.1,9,68,上海市,121.4937284,31.26452998
北菜,虹口区,657,7.7,7.8,7.5,68,上海市,121.4937284,31.26452998
海鲜,黄浦区,26,8.2,8.2,8.4,68,上海市,121.4937266,31.22682293
快餐,杨浦区,65,8.4,8.7,8.9,68,上海市,121.4937165,31.31015932
快餐,杨浦区,65,8.4,8.7,8.9,68,上海市,121.4937165,31.31015932
湘菜,浦东新区,225,7.5,7.3,7.3,68,上海市,121.493718,31.1626756
美食,黄浦区,8,7.6,7.3,7.5,68,上海市,121.4937088,31.21183898
浙菜,浦东新区,683,7.5,7,6.7,68,上海市,121.4937099,31.16336222
快餐,虹口区,7,6.6,6.9,6.9,68,上海市,121.4936951,31.29064196
浙菜,浦东新区,37,7.4,7.5,7.5,68,上海市,121.4936941,31.14851594
西餐,浦东新区,635,8.8,9.1,9,68,上海市,121.4936846,31.23725998
西餐,浦东新区,635,8.8,9.1,9,68,上海市,121.4936846,31.23725998
西餐,浦东新区,635,8.8,9.1,9,68,上海市,121.4936846,31.23725998
西餐,浦东新区,635,8.8,9.1,9,68,上海市,121.4936846,31.23725998
快餐,黄浦区,56,7.2,6.7,7,68,上海市,121.4936864,31.21605989
浙菜,杨浦区,320,7.8,6.7,7.6,68,上海市,121.4936773,31.31021519
浙菜,黄浦区,40,6.9,6.9,6.9,68,上海市,121.4936775,31.22543444
快餐,浦东新区,71,7.7,7.7,7.7,68,上海市,121.4936713,31.18082116
川菜,黄浦区,94,6.6,6.4,6.4,68,上海市,121.4936685,31.21316422
川菜,黄浦区,1,7.2,7.2,7.2,68,上海市,121.4936685,31.21316422
川菜,黄浦区,94,6.6,6.4,6.4,68,上海市,121.4936685,31.21316422
西餐,黄浦区,1214,7.1,6.6,6.2,68,上海市,121.4936685,31.21316422
海鲜,黄浦区,119,8.3,7.3,7.4,68,上海市,121.4936685,31.21316422
西餐,黄浦区,1214,7.1,6.6,6.2,68,上海市,121.4936685,31.21316422
粤菜,浦东新区,4,7.1,7.1,7.1,68,上海市,121.493671,31.14934644
粤菜,浦东新区,24,7.2,7.2,7.2,68,上海市,121.493671,31.14934644
粤菜,浦东新区,4,7.1,7.1,7.1,68,上海市,121.493671,31.14934644
快餐,杨浦区,13,7.1,7.1,7.1,68,上海市,121.4936382,31.31015909
海鲜,宝山区,0,0,0,0,68,上海市,121.4936267,31.39726991
海鲜,浦东新区,374,8.9,8.3,8.8,68,上海市,121.4936353,31.23859622
美食,宝山区,1,7.5,7.5,7.5,68,上海市,121.4936236,31.36372708
火锅,浦东新区,1962,8.1,7.8,7.8,68,上海市,121.4936397,31.16290425
浙菜,虹口区,999,8.3,8.2,7.9,68,上海市,121.4936269,31.26641687
浙菜,虹口区,2051,7.9,8.2,8.3,68,上海市,121.4936269,31.26641687
浙菜,虹口区,332,7.6,8.1,7.5,68,上海市,121.4936269,31.26641687
浙菜,虹口区,289,7.4,7.9,6.8,68,上海市,121.4936269,31.26641687
川菜,虹口区,262,8.3,8.6,7.9,68,上海市,121.4936269,31.26641687
川菜,虹口区,899,7.5,8.1,7.8,68,上海市,121.4936269,31.26641687
川菜,虹口区,1752,8.4,8.6,8.7,68,上海市,121.4936269,31.26641687
川菜,虹口区,280,8.1,9.1,8.9,68,上海市,121.4936269,31.26641687
川菜,虹口区,899,7.5,8.1,7.8,68,上海市,121.4936269,31.26641687
川菜,虹口区,2,7.1,7,7.4,68,上海市,121.4936269,31.26641687
粤菜,虹口区,1697,8.1,7.9,7.6,68,上海市,121.4936269,31.26641687
粤菜,虹口区,194,8.1,8.4,8.3,68,上海市,121.4936269,31.26641687
浙菜,虹口区,2051,7.9,8.2,8.3,68,上海市,121.4936269,31.26641687
火锅,虹口区,1700,9.1,9,8.7,68,上海市,121.4936269,31.26641687
火锅,虹口区,906,8.4,8.9,8.8,68,上海市,121.4936269,31.26641687
快餐,虹口区,126,8,7.9,8.1,68,上海市,121.4936269,31.26641687
快餐,虹口区,113,6.9,7,6.9,68,上海市,121.4936269,31.26641687
本菜,虹口区,574,9.1,9.2,9.1,68,上海市,121.4936269,31.26641687
本菜,虹口区,1596,8.7,9,8.9,68,上海市,121.4936269,31.26641687
本菜,虹口区,1081,9,9,9,68,上海市,121.4936269,31.26641687
本菜,虹口区,235,8.9,8.1,8,68,上海市,121.4936269,31.26641687
本菜,虹口区,235,8.9,8.1,8,68,上海市,121.4936269,31.26641687
本菜,虹口区,638,8,8.8,8.1,68,上海市,121.4936269,31.26641687
本菜,虹口区,1403,7.9,8.2,8.2,68,上海市,121.4936269,31.26641687
本菜,虹口区,125,7.7,7.4,7.5,68,上海市,121.4936269,31.26641687
烧烤,虹口区,652,8,8.6,8.3,68,上海市,121.4936269,31.26641687
亚菜,虹口区,1247,7.9,8.4,8.3,68,上海市,121.4936269,31.26641687
亚菜,虹口区,503,8.6,9.1,8.6,68,上海市,121.4936269,31.26641687
西餐,虹口区,515,8.3,9,9,68,上海市,121.4936269,31.26641687
西餐,虹口区,375,8.9,9.1,8.9,68,上海市,121.4936269,31.26641687
西餐,虹口区,178,8.8,9.2,9.2,68,上海市,121.4936269,31.26641687
西餐,虹口区,1009,8.5,9.1,8.9,68,上海市,121.4936269,31.26641687
西餐,虹口区,1456,8.8,9.1,9,68,上海市,121.4936269,31.26641687
西餐,虹口区,963,8.6,9,8.7,68,上海市,121.4936269,31.26641687
西餐,虹口区,367,8.1,9,8.8,68,上海市,121.4936269,31.26641687
西餐,虹口区,515,8.3,9,9,68,上海市,121.4936269,31.26641687
西餐,虹口区,244,8.1,8.5,8.4,68,上海市,121.4936269,31.26641687
西餐,虹口区,529,8.9,9.1,8.9,68,上海市,121.4936269,31.26641687
西餐,虹口区,475,8.2,8.5,8.6,68,上海市,121.4936269,31.26641687
疆菜,虹口区,514,8.4,9.1,8.7,68,上海市,121.4936269,31.26641687
西餐,虹口区,128,8.3,7.6,8.4,68,上海市,121.4936269,31.26641687
甜点,虹口区,422,8.3,8.4,8.2,68,上海市,121.4936269,31.26641687
甜点,虹口区,765,7.8,8.2,8,68,上海市,121.4936269,31.26641687
甜点,虹口区,238,8,8.2,8.1,68,上海市,121.4936269,31.26641687
甜点,虹口区,103,7.8,8,7.8,68,上海市,121.4936269,31.26641687
啡厅,虹口区,138,7.7,8,7.6,68,上海市,121.4936269,31.26641687
甜点,虹口区,45,7.7,7.6,7.6,68,上海市,121.4936269,31.26641687
甜点,虹口区,13,0,0,0,68,上海市,121.4936269,31.26641687
甜点,虹口区,0,0,0,0,67,上海市,121.4936269,31.26641687
甜点,虹口区,0,0,0,0,67,上海市,121.4936269,31.26641687
甜点,虹口区,47,7.3,7.4,7.4,67,上海市,121.4936269,31.26641687
啡厅,虹口区,43,7.7,7.9,7.6,67,上海市,121.4936269,31.26641687
啡厅,虹口区,138,7.7,8,7.6,67,上海市,121.4936269,31.26641687
啡厅,虹口区,139,7.2,7.6,7.3,67,上海市,121.4936269,31.26641687
啡厅,虹口区,0,0,0,0,67,上海市,121.4936269,31.26641687
南菜,虹口区,2206,8.5,9,9,67,上海市,121.4936269,31.26641687
烧烤,虹口区,652,8,8.6,8.3,67,上海市,121.4936269,31.26641687
海鲜,虹口区,458,7.9,8.1,7.7,67,上海市,121.4936269,31.26641687
本菜,虹口区,1081,9,9,9,67,上海市,121.4936269,31.26641687
烧烤,虹口区,652,8,8.6,8.3,67,上海市,121.4936269,31.26641687
烧烤,虹口区,652,8,8.6,8.3,67,上海市,121.4936269,31.26641687
疆菜,虹口区,508,8.1,8.7,8.4,67,上海市,121.4936269,31.26641687
北菜,虹口区,669,8.6,8.5,8.6,67,上海市,121.4936269,31.26641687
西餐,虹口区,375,8.9,9.1,8.9,67,上海市,121.4936269,31.26641687
西餐,虹口区,1009,8.5,9.1,8.9,67,上海市,121.4936269,31.26641687
西餐,虹口区,963,8.6,9,8.7,67,上海市,121.4936269,31.26641687
甜点,虹口区,422,8.3,8.4,8.2,67,上海市,121.4936269,31.26641687
甜点,虹口区,238,8,8.2,8.1,67,上海市,121.4936269,31.26641687
啡厅,虹口区,43,7.7,7.9,7.6,67,上海市,121.4936269,31.26641687
甜点,虹口区,13,0,0,0,67,上海市,121.4936269,31.26641687
啡厅,虹口区,0,0,0,0,67,上海市,121.4936269,31.26641687
甜点,虹口区,0,0,0,0,67,上海市,121.4936269,31.26641687
甜点,虹口区,47,7.3,7.4,7.4,67,上海市,121.4936269,31.26641687
西餐,虹口区,1009,8.5,9.1,8.9,67,上海市,121.4936269,31.26641687
西餐,虹口区,515,8.3,9,9,67,上海市,121.4936269,31.26641687
西餐,虹口区,244,8.1,8.5,8.4,67,上海市,121.4936269,31.26641687
本菜,虹口区,1596,8.7,9,8.9,67,上海市,121.4936269,31.26641687
西餐,虹口区,475,8.2,8.5,8.6,67,上海市,121.4936269,31.26641687
甜点,虹口区,765,7.8,8.2,8,67,上海市,121.4936269,31.26641687
烧烤,浦东新区,11,6.9,6.9,6.8,67,上海市,121.4936268,31.16153392
快餐,虹口区,707,8.3,6.4,7.5,67,上海市,121.4936156,31.29297478
快餐,虹口区,707,8.3,6.4,7.5,67,上海市,121.4936156,31.29297478
粤菜,虹口区,2550,8.4,8.5,8.5,67,上海市,121.493616,31.26437372
西餐,闵行区,114,7,7.2,6.9,67,上海市,121.4936248,31.07783857
甜点,黄浦区,88,6.8,6.6,6.7,67,上海市,121.4936079,31.21800473
甜点,黄浦区,88,6.8,6.6,6.7,67,上海市,121.4936079,31.21800473
粤菜,虹口区,36,7.6,7.4,7.5,67,上海市,121.4935997,31.29085359
快餐,虹口区,13,7.4,7.3,6.9,67,上海市,121.4935997,31.29085359
快餐,虹口区,13,7.4,7.3,6.9,67,上海市,121.4935997,31.29085359
甜点,虹口区,0,0,0,0,67,上海市,121.4935997,31.29085359
烧烤,虹口区,5,7.5,7.2,7.5,67,上海市,121.4935997,31.29085359
甜点,浦东新区,1391,8.3,8.4,8.2,67,上海市,121.4936085,31.16376571
甜点,虹口区,8,6.5,6.5,6.5,67,上海市,121.4935957,31.29074662
甜点,虹口区,8,6.5,6.5,6.5,67,上海市,121.4935957,31.29074662
快餐,黄浦区,84,7.3,7,6.8,67,上海市,121.4935999,31.21796873
甜点,虹口区,1,7.2,7.2,7.2,67,上海市,121.4935914,31.25867912
甜点,虹口区,11,6.9,6.7,6.8,67,上海市,121.4935914,31.25867912
浙菜,杨浦区,156,7,6.6,6.6,67,上海市,121.4935843,31.28317468
快餐,虹口区,27,7.6,7.1,7.6,67,上海市,121.4935843,31.28317468
常菜,浦东新区,0,0,0,0,67,上海市,121.4935965,31.12789869
快餐,浦东新区,187,7.3,6.5,7.1,67,上海市,121.4935864,31.16376664
粤菜,浦东新区,2188,8.6,7.7,7.9,67,上海市,121.4935674,31.16310792
